,id,proper,dist,ra_2000,dec_2000,pmra,pmdec,ra_2020,dec_2020
55,37173,Procyon,11.4633204,114.825495,5.224993,-0.0001990472140043411,-0.0002873833214683997,114.82151405571992,5.219245333570632
56,37718,Pollux,33.7891008,116.329155,28.026199,-0.000173802770602141,-1.276388836191785e-05,116.32567894458796,28.02594372223276
57,39318,Naos,1083.7208858000001,120.896055,-40.003148,-8.561110757656324e-06,4.658333141008973e-06,120.89588377778485,-40.00305483333718
58,40921,Avior,605.1949456,125.62853999999999,-59.509483,-7.0388885982807025e-06,6.3111108505500215e-06,125.62839922222803,-59.50935677778299
59,45106,Miaplacidus,113.18520219999999,138.300615,-69.717208,-4.3794442636343155e-05,3.0252776528758932e-05,138.29973911114726,-69.71660294446943
60,45425,Tureis,765.7277516,139.27257,-59.275229,-5.286110892868262e-06,3.6416665163164954e-06,139.27246427778215,-59.275156166669674
61,46259,Alphard,180.3207504,141.89685,-8.658603,-4.024999833823496e-06,9.236110729788214e-06,141.89676950000333,-8.658418277785403
62,47772,Ras Elased Australis,246.747466,146.46282000000002,23.774255,-1.2802777249201167e-05,-2.6583332235811493e-06,146.46256394445504,23.77420183333553
63,49528,Regulus,79.30965839999999,152.09298,11.967207,-6.927777491756934e-05,1.363888832579252e-06,152.09159444450165,11.967234277776651
64,50440,Algieba,130.1156346,154.99309499999998,19.841489,8.632499643597844e-05,-4.246666491338412e-05,154.9948214999287,19.840639666701733
65,53754,Merak,79.7555738,165.46015500000001,56.382427,2.2683332396827236e-05,9.37222183527983e-06,165.46060866664794,56.382614444436705
66,53879,Lalande 21185,8.3079878,165.83447999999999,35.969877,-0.00016116666001272548,-0.001324191611995973,165.83125666679973,35.94339316776008
67,53905,Dubhe,122.90889800000001,165.93232500000002,61.751033,-3.790555399058345e-05,-9.791666262407055e-06,165.9315668889202,61.75083716667475
68,54712,Zosma,58.437751399999996,168.52706999999998,20.523717,3.980833168980298e-05,-3.6230554059737655e-05,168.52786616663377,20.522992388918805
69,57459,Denebola,35.8816738,177.26494499999998,14.57206,-0.00013861666094372677,-3.1605554250685806e-05,177.2621726667811,14.571427888914986
70,57767,Groombridge 1830,29.657125399999998,178.2423,37.718679,0.0011121360651953616,-0.0016147221555566583,178.2645427213039,37.68638455688887
71,57828,Phad,83.1930694,178.45752000000002,53.69476,2.9933332097503095e-05,3.099999872013127e-06,178.45811866664198,53.694821999997444
72,59592,Megrez,80.52344860000001,183.85629,57.032617,2.8766665479003533e-05,2.16944435487657e-06,183.85686533330957,57.0326603888871
73,59621,Gienah Ghurab,153.6506384,183.95155499999998,-17.541929,-4.432777594765724e-05,6.1972219663631594e-06,183.95066844448104,-17.541805055560673
74,60530,Acrux,322.0138754,186.649665,-63.099092,-9.824999594364185e-06,-4.0916664977377564e-06,186.6494685000081,-63.09917383332996
75,60731,3C 273,326200.0,187.277895,2.052398,-3.058333207066714e-06,1.2166666164352595e-06,187.27783383333585,2.052422333332329
76,60776,Algorab,86.8709744,187.466085,-16.515432,-5.8324997591988914e-05,-3.86944428469022e-05,187.46491850004816,-16.516205888856938
77,60893,Gacrux,88.5691716,187.791435,-57.113212,7.761110790685195e-06,-7.342499696856899e-05,187.79159022221583,-57.11468049993937
78,61166,Kraz,145.6900536,188.596815,-23.396759,2.3888887902610116e-07,-1.555555491332752e-05,188.59681977777757,-23.397070111098266
79,61748,Porrima,38.11647,190.415175,-1.449375,-0.00017129443737236692,1.6849999304329414e-05,190.41174911125256,-1.4490380000139136
80,62239,Becrux,278.5653402,191.930385,-59.688764,-1.339999944676642e-05,-3.5611109640867646e-06,191.93011700001105,-59.68883522221928
81,62757,Alioth,82.56121999999999,193.50708,55.959821,3.103888760741459e-05,-2.4972221191216855e-06,193.50770077775215,55.95977105555762
82,62925,Cor Caroli,114.8188118,194.007105,38.31838,-6.484166398960791e-05,1.527222159169191e-05,194.00580816672021,38.31868544443183
83,63405,Vindemiatrix,109.6103764,195.54416999999998,10.95915,-7.640277462340596e-05,5.544444215536023e-06,195.54264194450752,10.95926088888431
84,65173,Mizar,85.81963180000001,200.981205,54.925362,3.367499860969099e-05,-6.113888636470334e-06,200.98187849997217,54.92523972222727
85,65269,Spica,249.77036139999998,201.298245,-11.161322,-1.1805555068150348e-05,-8.813888524997896e-06,201.29800888889864,-11.1614982777705
86,65272,Alcor,81.7339768,201.306195,54.987958,3.343055417533869e-05,-4.7055553612815746e-06,201.30686361108351,54.987863888892775
87,67088,Alkaid,103.9514588,206.88531,49.313265,-3.367499860969099e-05,-4.3222220437745755e-06,206.88463650002782,49.313178555559126
88,67711,Mufrid,37.173752,208.671165,18.397717,-1.693055485655915e-05,-9.94722181154033e-05,208.67082638890287,18.39572755563769
89,68483,Hadar,392.0672826,210.955935,-60.373039,-9.433332943867903e-06,-6.961110823714064e-06,210.95574633334112,-60.373178222216474
90,68537,Thuban,303.1598416,211.097475,64.37585,-1.569999935180842e-05,4.77499980285893e-06,211.09716100001296,64.37594549999606
91,68714,Menkent,58.82788660000001,211.670925,-36.369954,-0.00014424721626681868,-0.00014385277183865932,211.66804005567468,-36.37283105543677
92,69451,Arcturus,36.721965000000004,213.91545,19.18241,-0.00030373609857103527,-0.0005553888659590543,213.90937527802856,19.17130222268082
93,70666,Proxima Centauri,4.2272258,217.439775,-62.679485,-0.0010487888455884985,0.00021337776896824406,217.41879922308823,-62.675217444620635
94,71456,Rigil Kentaurus,4.3214976,219.911475,-60.833976,-0.0010217194022616456,0.00013384443891853093,219.89104061195476,-60.83129911122163
95,71879,Izar,202.60869160000001,221.24676,27.074222,-1.406944386357212e-05,5.5555553261884e-06,221.2464786111227,27.074333111106522
96,72380,Kochab,130.951359,222.676575,74.155505,-8.969444074131171e-06,3.308333196745192e-06,222.67639561111852,74.15557116666395
97,72396,Zubenelgenubi,75.8075752,222.719655,-16.041778,-2.9358332121242596e-05,-1.916666587534998e-05,222.71906783335757,-16.04216133331751
98,74556,Zubeneschemali,185.1305694,229.251735,-9.382917,-2.6774998894564992e-05,-5.766666428583559e-06,229.2511995000221,-9.383032333328572
99,76035,Alphekka,75.0576414,233.67192,26.714693,3.343888750832798e-05,-2.4844443418714525e-05,233.67258877775018,26.714196111131628
100,76835,Unukalhai,73.9681334,236.06697,6.425627,3.7405554011226494e-05,1.2261110604897797e-05,236.0677181110802,6.4258722222120985
101,78165,Dschubba,491.2650288,240.08335499999998,-22.62171,-2.408333233902671e-06,-1.0249999576817598e-05,240.0833068333353,-22.621914999991535
102,78580,Graffias,404.2130134,241.35930000000002,-19.805453,-1.874999922588585e-06,-6.913888603441464e-06,241.35926250000156,-19.80559127777207
103,80519,Antares,553.8200766,247.35191999999998,-26.432002,-2.822222105703707e-06,-6.447221956041637e-06,247.35186355555786,-26.432130944439123
104,80571,Kornephoros,139.16377020000002,247.55502,21.489613,-2.734166553783621e-05,-4.024999833823496e-06,247.55447316668926,21.48953250000332
105,82022,Atria,390.658751,252.166155,-69.027715,4.958333128623146e-06,-9.144444066906106e-06,252.16625416666258,-69.02789788888134
106,84086,Rasalgethi,359.64724320000005,258.661905,14.390333,-1.8638888119362082e-06,9.105555179622788e-06,258.66186772222375,14.390515111103593
107,85410,Rastaban,380.1864262,262.608195,52.301387,-4.330555376763857e-06,3.2138887561999893e-06,262.6081083888925,52.30145127777512
108,85665,Shaula,571.2783006000001,263.402175,-37.103821,-2.472222120153838e-06,-8.319444100967128e-06,263.4021255555576,-37.103987388882025
109,85769,Rasalhague,48.592383,263.733615,12.560035,3.057777651534095e-05,-6.183610855813998e-05,263.7342265555303,12.558798277828837
110,85965,Sargas,300.368222,264.3297,-42.997824,1.6833332638350848e-06,-2.63888877993949e-07,264.3297336666653,-42.99782927777756
111,86475,Cebalrai,81.8569542,265.868145,4.567303,-1.129722175580411e-05,4.41111092899359e-05,265.8679190555649,4.568185222185798
112,87561,Etamin,154.3046694,269.151555,51.488895,-2.366666568956258e-06,-6.402777513432132e-06,269.1515076666686,51.48876694444973
113,87665,Barnard's Star,5.949235600000001,269.45207999999997,4.693388,-0.00022162221307230764,0.002777774885316537,269.4476475557385,4.74894349770633
114,88361,Nash,96.8814,271.452045,-30.424091,-1.5486110471750163e-05,-5.042499791814901e-05,271.4517352777906,-30.425099499958364
115,89653,Kaus Meridionalis,347.7611676,275.24850000000004,-29.828103,8.322221878630223e-06,-7.327777475242499e-06,275.2486664444376,-29.828249555549505
116,89906,Kaus Australis,143.3215154,276.04302,-34.384616,-1.1002777323516126e-05,-3.445833191068355e-05,276.0427999444535,-34.38530516663821
117,90217,Kaus Borealis,78.1878566,276.992685,-25.4217,-1.2447221708325111e-05,-5.1747220085781845e-05,276.9924360555658,-25.422734944401718
118,90979,Vega,25.0479194,279.2346,38.783692,5.58388865835196e-05,7.984999670330585e-05,279.2357167777317,38.78528899993407
119,92133,Sheliak,962.2420486,282.51997500000004,33.362667,3.05555542940362e-07,-1.2388888377400133e-06,282.5199811111109,33.36264222222325
120,92564,Nunki,227.79328880000003,283.81635,-26.296722,3.852777618711655e-06,-1.462499939619096e-05,283.81642705555237,-26.297014499987924
121,93846,Albaldah,509.6875,287.440965,-21.023615,-3.2499998658202134e-07,-1.0230555133175938e-05,287.44095850000025,-21.023819611102663
122,95648,Albireo,434.3542196,292.680345,27.959681,-1.9694443631337874e-06,-1.5638888243220344e-06,292.6803056111127,27.959649722223514
123,95992,Campbell's Hydrogen Star,326200.0,293.688465,30.516371,-1.1555555078471872e-06,-2.8305554386929894e-06,293.6884418888898,30.516314388891224
124,96970,Tarazed,394.9153348,296.56491000000005,10.613261,4.366666486384082e-06,-8.555555202330136e-07,296.56499733332976,10.613243888889595
125,97338,Altair,16.732429,297.69582,8.868322,0.00014911666051022285,0.00010709444002293378,297.6988023332102,8.870463888800458
126,97725,Alshain,44.6848332,298.828305,6.406763,1.2874999468441617e-05,-0.00013369999448005002,298.82856249998935,6.404089000110399
127,97987,Cygnus X-1,1941.6666822000002,299.59032,35.201604,-1.0611110673019843e-06,-2.1166665792777802e-06,299.5902987777787,35.20156166666842
128,100128,Sadr,1832.5844236000003,305.557095,40.256679,6.749999721318907e-07,-2.583333226677606e-07,305.55710849999946,40.256673833333544
129,100425,Peacock,178.8378452,306.411885,-56.73509,2.141666578245628e-06,-2.3930554567556532e-05,306.41192783333156,-56.73556861109135
130,101767,Deneb,1412.1211048,310.35798,45.280338,4.3333331544269514e-07,4.3055553777960094e-07,310.3579886666663,45.28034661111076
131,102157,Gienah,72.7151992,311.55267000000003,33.970256,9.893332924876303e-05,9.174444065667522e-05,311.554648666585,33.972090888813135
132,104751,Lacaille 8760,12.8725044,319.31587499999995,-38.867362,-0.0009052777404023998,-0.00031860832017924164,319.2977694451919,-38.87373416640359
133,104861,Alderamin,49.0526512,319.64445,62.585573,4.1641664947445145e-05,1.3408332779755705e-05,319.64528283329895,62.58584116665559
134,105936,Sadalsuud,537.3968851999999,322.88973,-5.571172,6.330555294191681e-06,-1.861111034273114e-06,322.88985661110587,-5.571209222220685
135,106972,Enif,689.640623,326.04649500000005,9.875011,8.338888544608788e-06,3.833333175069995e-07,326.04666177777096,9.875018666666351
136,108728,Sadalmelik,523.5953632,331.445985,-0.319851,4.972222016938617e-06,-2.7583332194525403e-06,331.4460844444404,-0.31990616666438904
137,108922,Alnair,101.0218566,332.058135,-46.960975,3.544444298108199e-05,-4.1086109414826306e-05,332.0588438888596,-46.961796722188296
138,110547,Kruger 60,13.051262000000001,336.99963,57.695875,-0.00024173054557544656,-0.00013086110570836775,336.9947953890885,57.69325777788583
139,111804,Matar,214.32318600000002,340.75056,30.221245,3.6416665163164954e-06,-7.2527774783389556e-06,340.7506328333303,30.221099944450433
140,111893,Babcock's star,326200.0,341.03127,55.589226,1.377777720894723e-06,-2.722222109832316e-07,341.03129755555443,55.58922055555578
141,113008,Fomalhaut,25.129143199999998,344.41256999999996,-29.622236,9.144999622438726e-05,-4.5616664783332954e-05,344.41439899992446,-29.623148333295667
142,113521,Scheat,196.0338044,345.943515,28.082789,5.215555340225669e-05,3.822499842183929e-05,345.94455811106803,28.083553499968435
143,113603,Markab,133.3606722,346.19022,15.205264,1.6972221521505562e-05,-1.1822221734128915e-05,346.19055944443045,15.205027555565318
144,113687,Lacaille 9352,10.685985800000001,346.462965,-35.853073,0.0018797943668350857,0.00036851665145205516,346.5005608873367,-35.84570266697096
145,118084,p Eridani,26.5742092,24.945045,-56.19462,7.466666358397209e-05,7.058333041922361e-06,24.94653833327168,-56.19447883333916
