,start,end,street_name,delay8pm,delay5pm
5489,42435336,42435337,CentralParkWest,11.917936656192715,12.639022085500883
5490,42421728,42435337,CentralParkWest,10.990929803312627,14.018605158079627
5491,42435323,42435328,CentralParkWest,10.833145404210534,11.970952634122849
5492,42424439,42435328,CentralParkWest,11.7575016311777,14.650547240311846
5493,42435323,42435319,CentralParkWest,11.15956801613668,15.561695466055049
5494,42435317,42435319,CentralParkWest,10.47581295393785,10.997601654603224
5495,42435317,42435316,CentralParkWest,12.191180761366699,19.29268408031495
5496,42431447,42435316,CentralParkWest,10.319273212143996,11.084606205919576
5497,42435301,42435295,CentralParkWest,11.154585809025676,15.138801983078634
5498,42435283,42435295,CentralParkWest,11.745482656879053,11.838734526718984
5499,42435283,42432556,CentralParkWest,12.168547843295649,18.532336970331272
5500,42435312,42421993,CentralParkWest,10.808573679073444,11.61049335917128
5501,42431447,42421993,CentralParkWest,13.120964752551375,18.793180813520685
5502,42435269,42435272,CentralParkWest,11.990167465815652,12.984886254077885
5503,42435269,42435266,CentralParkWest,12.811981527085454,18.397010183832016
5504,42435265,42435266,CentralParkWest,12.447666213933624,13.53025878758961
5505,42435420,42430288,West30thStreet,93.65152268784313,122.91759934387116
5506,42427797,42430288,6thAvenue,13.619789309500508,25.72862199218529
5507,42435420,42427805,7thAvenue,12.486381104517314,12.862453700540428
5508,42427797,42427805,West29thStreet,69.88112794003115,100.0126791774794
5509,42434965,42434962,East35thStreet,50.396055691239106,58.11814255381667
5510,42434389,42456110,1stAvenue,8.284262927505866,10.587999842220675
5511,42426805,42456110,East111thStreet,15.29552826086956,15.748203535353534
5512,42434389,42426804,East110thStreet,24.904017172897174,31.38886699266505
5513,42434946,42430308,West35thStreet,87.64944595966925,151.81582602616155
5514,42430304,42430308,6thAvenue,14.888507223062579,26.09237117785615
5515,42434827,42438684,12thAvenue,10.34286979444397,16.174449996376982
5516,42434821,42438674,10thAvenue,9.95764959631618,16.604661941900268
5517,42430603,42438674,West28thStreet,49.22952404096565,65.08691003005265
5518,42434821,42430600,West27thStreet,50.65633305987743,56.226712954576655
5519,42430603,42430600,11thAvenue,10.947160312561005,13.076010021729818
5520,42434912,42434915,East103rdStreet,16.143589484536072,26.54731857142857
