name,lon,lat,x,y
42466412,-73.9667369,40.69767210000001,-8233939.487348039,4967850.122539692
42466405,-73.9414403,40.7220059,-8231123.482717235,4971423.666636759
42466401,-73.942004,40.721946,-8231186.233514197,4971414.868409013
42466398,-73.942936,40.721859,-8231289.9832796175,4971402.0896950085
42466395,-73.94386300000002,40.72177,-8231393.176447582,4971389.017234744
42466389,-73.945068,40.721656,-8231527.316433988,4971372.272760614
42466383,-73.94698000000002,40.721474,-8231740.159300386,4971345.540413985
42466378,-73.947951,40.721379,-8231848.250525946,4971331.586745606
42466376,-73.948875,40.721292,-8231951.109735438,4971318.808140453
42466306,-73.9798125,40.686641,-8235395.056481855,4966230.578590268
42466299,-73.980272,40.685959,-8235446.207787874,4966130.458756287
42466290,-73.98070200000002,40.685324,-8235494.075168916,4966037.239597331
42466282,-73.981133,40.684689,-8235542.053869448,4965944.021326547
42466273,-73.981562,40.68405300000001,-8235589.809930998,4965850.657145575
42466266,-73.98200770000003,40.683418,-8235639.425028047,4965757.440652438
42466259,-73.982423,40.682783,-8235685.656012571,4965664.225047395
42466249,-73.982855,40.682149,-8235733.746032595,4965571.157124535
42466244,-73.983276,40.681523,-8235780.611538217,4965479.264428872
42466239,-73.983711,40.68088,-8235829.035516713,4965384.8771431465
42466234,-73.984139,40.680246,-8235876.680258771,4965291.811877302
42466227,-73.98456999999998,40.679612,-8235924.658959302,4965198.747496599
42466219,-73.984998,40.678977,-8235972.3037013635,4965105.537213877
42466214,-73.98542900000002,40.678344,-8236020.282401896,4965012.621390536
42466209,-73.9858597,40.67770529999999,-8236068.227706581,4964918.869778656
371194366,-73.95350529999997,40.7633852,-8232466.552373658,4977503.431461452
42466204,-73.986308,40.677081,-8236118.132234302,4964827.232739565
276036211,-73.9434271,40.7506839,-8231344.652281544,4975636.856462819
42466202,-73.986998,40.676285,-8236194.94268295,4964710.394190613
42466200,-73.98747900000002,40.675707,-8236248.4873580225,4964625.55501299
42466196,-73.988004,40.675077,-8236306.930090687,4964533.084082744
42466192,-73.989511,40.67327,-8236474.688563312,4964267.858817416
42466191,-73.990013,40.672669,-8236530.570947693,4964179.647690658
42466189,-73.99051700000003,40.672066,-8236586.675971053,4964091.14381513
42466188,-73.991023,40.671458,-8236643.003633392,4964001.906886982
42466186,-73.991522,40.670861,-8236698.552059298,4963914.28523446
42466184,-73.992024,40.670257,-8236754.434443678,4963825.636990704
42466183,-73.992527,40.669655,-8236810.428147545,4963737.283083159
42466180,-73.993029,40.66905300000001,-8236866.310531925,4963648.929973242
42466179,-73.993531,40.668451,-8236922.192916303,4963560.57766092
42466172,-73.99400229999998,40.6678469,-8236974.657792312,4963471.917944617
100662035,-73.9169612,40.8016337,-8228398.481770162,4983126.562380379
100662030,-73.92155490000002,40.7953775,-8228909.850115018,4982206.581047233
100662028,-73.9235311,40.79320429999999,-8229129.839692724,4981887.029801403
42465929,-74.0112864,40.6511216,-8238898.715003134,4961017.57637862
42465926,-74.01010620000002,40.652253,-8238767.3357401015,4961183.583417307
42465921,-74.00895290000003,40.6533681,-8238638.950971369,4961347.201558625
42465917,-74.007188,40.65506120000001,-8238442.483202066,4961595.6346182665
42465911,-74.00600779999998,40.6561844,-8238311.103939031,4961760.448215816
293337397,-74.0396777,40.7466479,-8242059.220062093,4975043.80311353
42465906,-74.00483299999998,40.6573035,-8238180.325801248,4961924.662956365
293337390,-74.0389265,40.7478852,-8241975.596860609,4975225.609225505
42465899,-74.0042537,40.6578407,-8238115.838420233,4962003.4917059885
42465893,-74.0036636,40.6584308,-8238050.148788714,4962090.08373536
42465881,-74.00192009999998,40.6600911,-8237856.063256516,4962333.722392126
42465878,-74.0013247,40.6606527,-8237789.783631697,4962416.135057548
42465874,-74.0007614,40.661202,-8237727.077362535,4962496.743415937
42465871,-74.0001874,40.66176770000001,-8237663.179974819,4962579.759125862
42465857,-73.9978378,40.6640342,-8237401.623699252,4962912.371997042
42465852,-73.9972638,40.6645876,-8237337.7263115365,4962993.586139542
42465776,-74.01151709999998,40.6503564,-8238924.396409659,4960905.302398827
42465770,-74.01033690000001,40.6514797,-8238793.017146625,4961070.119047953
42465764,-74.0091675,40.652603000000006,-8238662.840134093,4961234.938471681
42465743,-74.0062599,40.6554111,-8238339.167582661,4961646.977160623
42465738,-74.0050959,40.6565222,-8238209.591695378,4961810.016095843
42465728,-74.0027355,40.6587685,-8237946.8331693085,4962139.638610239
42465660,-73.995795,40.665516,-8237174.220243459,4963129.834870103
42465649,-73.9945011,40.6672284,-8237030.183954321,4963381.145668702
2499802957,-73.9389303,40.8443524,-8230844.070795345,4989410.71494852
276035449,-73.93990529999998,40.7457326,-8230952.607298869,4974909.313142528
42465438,-74.005074,40.650147,-8238207.153798527,4960874.57840552
42465437,-74.00449,40.650706,-8238142.143215908,4960956.5973035665
42465434,-74.003908,40.651266,-8238077.355272263,4961038.763614876
42465432,-74.003327,40.65183,-8238012.678648112,4961121.517525389
42465429,-74.002751,40.652385,-8237948.558621418,4961202.951577603
42465427,-74.002144,40.652956,-8237880.9876905065,4961286.733985096
42465425,-74.00099499999997,40.654067,-8237753.081595583,4961449.752247749
42465421,-74.000413,40.654629,-8237688.293651941,4961532.216165153
42465408,-73.999837,40.655186,-8237624.173625247,4961613.9471032005
42465404,-73.999256,40.655745,-8237559.497001094,4961695.972195622
42465399,-73.998091,40.656865,-8237429.80979432,4961860.3179192515
42465392,-73.997501,40.657429,-8237364.1312947525,4961943.078774593
42465385,-73.99691800000002,40.65799000000001,-8237299.23203162,4962025.400106723
42465382,-73.996336,40.658547,-8237234.4440879775,4962107.135162368
